,skills_clean,education,experience_years,job_role
8659,"('problem solving', 'database management', 'regulatory compliance', 'swift', 'attention to detail', 'shell scripting', 'statistical analysis', 'clinical data', 'marketing')",Master's in Data Management,1,Clinical Data Manager
8660,"('judgment', 'communication', 'cloudformation', 'safety', 'law enforcement', 'leadership', 'shell scripting', 'physical fitness', 'problem solving')",Police Academy,0,Police Officer
8661,"('sql', 'graphic design', 'ci/cd', 'api development', 'database design', 'node.js', 'python', 'java', 'jira')",Bachelor's in Computer Science,1,Backend Developer
8662,"('wireframing', 'environmental science', 'problem solving', 'oracle', 'docker', 'machine learning', 'research', 'analysis', 'sustainability', 'technical knowledge', 'gcp')",Master's in Environmental Science,2,Environmental Scientist
8663,"('communication', 'c#', 'product demonstration', 'sales engineering', 'mongodb', 'problem solving', 'deep learning', 'technical knowledge', 'presentation skills', 'numpy', 'client relations')",Bachelor's in Computer Science,3,Pre-Sales Engineer
8664,"('precision', 'physical stamina', 'adobe creative suite', 'welding', 'web accessibility', 'terraform', 'technical knowledge', 'safety', 'problem solving')",Trade School,2,Welder
8665,"('business development strategy', 'web design', 'business development', 'azure', 'negotiation', 'communication', 'postgresql', 'database design', 'networking', 'sales', 'market analysis')",Bachelor's in Business,4,Business Development Manager
8666,"('ios', 'problem solving', 'executive support', 'communication', 'business acumen', 'leadership support', 'discretion', 'query optimization', 'organization', 'graphic design')",Bachelor's in Business,1,Executive Assistant
8667,"('c/c++', 'penetration testing', 'networking', 'r', 'system design', 'c#', 'iot technology', 'sensors', 'embedded systems')",Bachelor's in Electronics,3,IoT Engineer
8668,"('communication', 'regional knowledge', 'problem solving', 'customer service', 'agile', 'enthusiasm', 'creativity', 'cultural sensitivity')",High School,1,Tour Guide
8669,"('color grading', 'attention to detail', 'oracle', 'mobile ui/ux', 'project management', 'audio editing', 'video editing software', 'storytelling', 'creativity')",Certification,4,Video Editor
8670,"('encryption', 'scala', 'css', 'networking', 'security protocols', 'risk analysis', 'penetration testing', 'teamwork', 'firewalls', 'mentoring')",Bachelor's in Cybersecurity,5,Cybersecurity Specialist
8671,"('seo', 'negotiation', 'nosql', 'cms', 'mysql', 'php', 'javascript', 'theme development', 'financial analysis', 'go', 'joomla')",Bachelor's in Computer Science,2,Joomla Developer
8672,"('compassion', 'animal care', 'negotiation', 'communication', 'serverless', 'leadership', 'network security', 'diagnosis', 'problem solving', 'veterinary medicine')",Doctor of Veterinary Medicine,1,Veterinarian
8673,"('decision making', 'safety', 'navigation', 'technical knowledge', 'responsibility', 'flying', 'deep learning', 'python')",Training,3,Pilot
8674,"('keyword research', 'database design', 'technical seo', 'content optimization', 'kotlin', 'backlink strategy', 'scrum', 'analytics', 'seo')",Bachelor's in Marketing,2,SEO Specialist
8675,"('video production', 'creativity', 'communication', 'technical skills', 'numpy', 'social media', 'content creation', 'scrum', 'redis', 'go')",High School,3,Content Creator
8676,"('communication', 'problem solving', 'organization', 'leadership support', 'azure', 'c++', 'executive support', 'mongodb', 'jupyter', 'discretion')",Bachelor's in Business,1,Executive Assistant
8677,"('problem solving', 'prototyping', 'memory', 'jira', 'oracle', 'customer service', 'organization', 'communication', 'teamwork')",High School,1,Server
8678,"('python', 'smart contracts', 'cryptocurrency', 'redis', 'time management', 'blockchain technology', 'solidity', 'problem solving', 'teamwork', 'android')",Blockchain Certification,4,Blockchain Developer
8679,"('compliance', 'regulations', 'documentation', 'query optimization', 'shell scripting', 'gcp', 'auditing', 'adaptability', 'risk management', 'communication')",Bachelor's in Business,5,Compliance Officer
8680,"('fairness', 'microservices', 'user experience', 'ethics', 'legal expertise', 'leadership', 'communication', 'confluence', 'problem solving', 'decision making', 'sql')",Juris Doctor,12,Judge
8681,"('web accessibility', 'graphql', 'safety', 'equipment operation', 'sustainability', 'perl', 'farming', 'problem solving', 'business management')",Agriculture Experience,5,Farmer
8682,"('business acumen', 'cooking', 'prototyping', 'accuracy', 'teamwork', 'python', 'food safety', 'speed', 'kitchen skills', 'graphic design')",High School,2,Line Cook
8683,"('dimensional modeling', 'performance tuning', 'data warehouse design', 'css', 'etl', 'sql', 'strategic planning', 'swift')",Data Warehouse Certification,5,Data Warehouse Architect
8684,"('precision', 'mysql', 'food safety', 'decoration', 'android', 'baking', 'angular', 'creativity', 'time management')",Pastry Specialization,3,Pastry Chef
8685,"('equipment operation', 'safety', 'testing', 'maintenance', 'tensorflow', 'water treatment', 'compliance', 'serverless')",Certificate in Water Treatment,2,Water Treatment Operator
8686,"('p&l management', 'strategic leadership', 'brand vision', 'ruby', 'creativity', 'team leadership', 'market strategy', 'executive communication')",Master's in Marketing,13,Chief Marketing Officer
8687,"('swift', 'python', 'budget control', 'project management', 'leadership', 'tensorflow', 'problem solving', 'it knowledge', 'azure', 'communication')",Project Management Certification,5,IT Project Manager
8688,"('negotiation', 'safety', 'navigation', 'leadership', 'technical skills', 'maritime knowledge', 'nosql', 'problem solving', 'oracle')",Maritime Training,5,Deck Officer
8689,"('circuit design', 'pcb design', 'cad', 'shell scripting', 'microcontrollers', 'hardware design', 'vue.js', 'embedded systems', 'adobe creative suite', 'strategic planning', 'responsive design')",Bachelor's in Electronics Engineering,3,Electronics Engineer
8690,"('broadcasting', 'troubleshooting', 'confluence', 'nosql', 'rest api', 'seo', 'technical knowledge', 'equipment operation', 'attention to detail', 'safety')",Associate in Broadcast Technology,0,Broadcast Technician
8691,"('excel', 'power bi', 'sql', 'kotlin', 'reporting', 'presentation skills', 'rust', 'risk assessment', 'data analysis', 'security architecture', 'tableau')",Bachelor's in Business,1,BI Analyst
8692,"('prototyping tools', 'ui principles', 'jenkins', 'creativity', 'design systems', 'statistics', 'figma', 'visual design', 'adaptability')",UI Certification,0,UI Designer
8693,"('user interface', 'technical knowledge', 'production management', 'nosql', 'creativity', 'problem solving', 'leadership', 'communication')",Bachelor's in Production,4,Producer
8694,"('user experience', 'sql', 'java', 'maven', 'ios', 'business development', 'spring boot', 'microservices', 'rest api', 'mysql')",Bachelor's in Computer Science,1,Java Backend Developer
8695,"('compliance', 'tensorflow', 'audit procedures', 'internal controls', 'leadership', 'communication', 'risk assessment', 'user experience')",CPA,8,Audit Manager
8696,"('budget management', 'crm', 'apex', 'critical thinking', 'problem solving', 'visualforce', 'firewalls', 'salesforce', 'lightning', 'communication', 'tensorflow')",Salesforce Certification,1,Salesforce Developer
8697,"('hr systems', 'mobile ui/ux', 'problem solving', 'css', 'compliance', 'leadership', 'process management', 'redis', 'oracle', 'data analysis')",Bachelor's in Business,2,HR Operations Manager
8698,"('production planning', 'flutter', 'problem solving', 'safety', 'staff management', 'quality control', 'gcp', 'equipment maintenance')",Bachelor's in Engineering,6,Production Manager
8699,"('configuration', 'security', 'cisco', 'mobile ui/ux', 'routing', 'adobe creative suite', 'networking', 'tcp/ip')",Networking Certification,1,Network Engineer
8700,"('maven', 'microservices', 'sql', 'documentation', 'vue.js', 'technical writing', 'java', 'react', 'spring boot', 'rest api', 'node.js')",Bachelor's in Computer Science,3,Java Backend Developer
8701,"('counseling', 'client communication', 'meal planning', 'nutrition science', 'vue.js', 'health knowledge', 'research', 'scrum')",Nutritionist Certification,2,Nutritionist
8702,"('fleet management', 'maintenance', 'scikit-learn', 'budget management', 'cost management', 'safety', 'c#', 'shell scripting', 'user experience', 'problem solving', 'leadership')",Management Experience,3,Fleet Manager
8703,"('product knowledge', 'negotiation', 'account management', 'crm', 'relationship building', 'sales', 'vue.js', 'creativity')",Bachelor's in Business,2,Account Executive
8704,"('cloudformation', 'teamwork', 'ats systems', 'interviewing', 'job posting', 'recruitment', 'css', 'communication', 'networking')",Bachelor's in Business,0,Talent Acquisition Specialist
8705,"('analysis', 'problem solving', 'attention to detail', 'judgment', 'investigation', 'marketing', 'terraform', 'mobile security', 'communication')",Experience,6,Detective
8706,"('curation', 'problem solving', 'figma', 'research', 'art knowledge', 'kanban', 'communication', 'security architecture', 'database design', 'management')",Master's in Art History,6,Museum Curator
8707,"('leadership', 'data analysis', 'rust', 'responsive design', 'change management', 'process analysis', 'lean manufacturing', 'six sigma', 'mentoring', 'presentation skills')",Bachelor's in Business,6,Process Improvement Manager
8708,"('seo', 'data analysis', 'efficiency optimization', 'project management', 'leadership', 'presentation skills', 'risk assessment', 'quality control', 'flask', 'r', 'process management')",Bachelor's in Operations Management,5,Operations Manager
8709,"('decoration', 'creativity', 'food safety', 'wireframing', 'c++', 'precision', 'react native', 'angular', 'documentation', 'baking', 'time management')",Culinary School,5,Pastry Chef
8710,"('research', 'data analysis', 'typescript', 'problem solving', 'python', 'meteorology', 'communication', 'weather analysis')",Bachelor's in Meteorology,0,Meteorologist
8711,"('leadership', 'data analysis', 'quality control', 'efficiency optimization', 'mentoring', 'rust', 'network security', 'process management', 'project management')",Bachelor's in Business,6,Operations Manager
8712,"('angular', 'tax law', 'compliance', 'adobe creative suite', 'software', 'tax planning', 'irs knowledge', 'firewalls', 'azure', 'accounting', 'kubernetes')",Bachelor's in Accounting,1,Tax Specialist
8713,"('penetration testing', 'nail care', 'precision', 'artistry', 'customer service', 'communication', 'rust', 'sanitation')",Beauty School,0,Nail Technician
8714,"('accuracy', 'patient counseling', 'pharmacy knowledge', 'attention to detail', 'drug interactions', 'problem solving', 'communication', 'c#', 'seo')",Pharmacy License,3,Pharmacist
8715,"('problem solving', 'python', 'communication', 'technical knowledge', 'production management', 'leadership', 'creativity', 'business acumen', 'kubernetes', 'nosql', 'redis')",Bachelor's in Communications,5,Producer
8716,"('compassion', 'python', 'veterinary medicine', 'adaptability', 'mysql', 'diagnosis', 'figma', 'communication', 'problem solving', 'animal care')",Doctor of Veterinary Medicine,3,Veterinarian
8717,"('javascript', 'patient communication', 'php', 'counseling', 'empathy', 'research', 'angular', 'psychological assessment', 'critical thinking')",Master's or PhD in Psychology,4,Psychologist
8718,"('ethics', 'communication', 'research', 'source development', 'writing', 'reporting', 'flask', 'python')",Bachelor's in Journalism,4,Journalist
8719,"('penetration testing', 'encryption', 'r', 'vue.js', 'security protocols', 'risk analysis', 'firewalls', 'networking')",Bachelor's in Cybersecurity,5,Cybersecurity Specialist
8720,"('corporate law', 'scikit-learn', 'javascript', 'strategic thinking', 'jira', 'pytorch', 'firewalls', 'research', 'contract negotiation', 'communication', 'writing')",Bar License,6,Corporate Lawyer
8721,"('negotiation', 'regulatory compliance', 'kanban', 'statistical analysis', 'clinical data', 'mobile ui/ux', 'attention to detail', 'creativity', 'css', 'database management', 'problem solving')",Bachelor's in Life Sciences,2,Clinical Data Manager
8722,"('problem solving', 'equipment', 'troubleshooting', 'safety', 'hvac systems', 'mongodb', 'app testing', 'technical knowledge')",Trade School,1,HVAC Technician
8723,"('communication', 'mysql', 'compliance', 'gdpr', 'strategic planning', 'privacy law', 'risk management', 'kotlin', 'teamwork')",Master's in Law,5,Privacy Officer
8724,"('swift', 'driving', 'route planning', 'perl', 'responsibility', 'time management', 'vehicle maintenance', 'safety')",High School,0,Truck Driver
8725,"('pytorch', 'business acumen', 'log analysis', 'mentoring', 'aws', 'incident response', 'siem', 'security protocols', 'threat detection', 'communication')",Bachelor's in Cybersecurity,1,SOC Analyst
8726,"('decision making', 'curriculum development', 'evaluation', 'instruction', 'leadership', 'program design', 'nosql', 'terraform', 'communication')",Bachelor's in Education,2,Training Manager
8727,"('cassandra', 'problem solving', 'ruby', 'precision', 'communication', 'attention to detail', 'safety', 'equipment operation')",Equipment License,1,Heavy Equipment Operator
8728,"('communication', 'machine learning', 'legal research', 'organization', 'market research', 'attention to detail', 'legal knowledge', 'document preparation', 'scrum', 'risk assessment')",Associate in Law,4,Paralegal
8729,"('strategic planning', 'typescript', 'dimensional modeling', 'javascript', 'etl', 'cassandra', 'html', 'sql', 'security protocols', 'data warehouse design', 'performance tuning')",Master's in IT,8,Data Warehouse Architect
8730,"('nursing leadership', 'budget management', 'kubernetes', 'communication', 'patient safety', 'clinical knowledge', 'php', 'staff management')",Master's in Nursing,6,Nursing Manager
8731,"('seo knowledge', 'figma', 'creativity', 'research', 'rust', 'jupyter', 'brand voice', 'nosql', 'marketing', 'writing')",Bachelor's in English,1,Copywriter
8732,"('gaap', 'accounting principles', 'tax knowledge', 'financial analysis', 'creativity', 'p&l management', 'quickbooks', 'excel')",CPA or equivalent,4,Accountant
8733,"('decision making', 'mentoring', 'javascript', 'type safety', 'node.js', 'object-oriented design', 'cassandra', 'problem solving', 'typescript')",Bachelor's in Computer Science,2,TypeScript Developer
8734,"('cryptocurrency', 'problem solving', 'oracle', 'smart contracts', 'python', 'blockchain technology', 'solidity', 'data analysis')",Bachelor's in Computer Science,5,Blockchain Developer
8735,"('kubernetes', 'compliance', 'tax law', 'query optimization', 'irs knowledge', 'react native', 'accounting', 'software', 'serverless', 'tax planning')",Bachelor's in Accounting,3,Tax Specialist
8736,"('software', 'tax law', 'tax planning', 'irs knowledge', 'decision making', 'compliance', 'jupyter', 'accounting', 'cloudformation', 'encryption')",Bachelor's in Accounting,3,Tax Specialist
8737,"('budgeting', 'marketing', 'vision', 'educational leadership', 'community relations', 'staff management', 'management', 'time management')",Administrative Certificate,7,School Principal
8738,"('budget management', 'usability testing', 'leadership', 'mobile security', 'prototyping', 'swift', 'design thinking', 'user research', 'communication', 'wireframing', 'flutter')",UX Certification,3,UX Designer
8739,"('css', 'sql', 'database optimization', 'linux', 'security', 'backup recovery', 'mongodb', 'time management')",Bachelor's in IT,4,Database Administrator
8740,"('cloudformation', 'nosql', 'kotlin', 'management', 'communication', 'go', 'attention to detail', 'content editing', 'organization', 'writing')",Bachelor's in Journalism,4,Editor
8741,"('waste management', 'figma', 'jira', 'regulations', 'docker', 'environmental assessment', 'analysis', 'sustainability', 'water systems', 'adobe creative suite', 'react native')",Bachelor's in Environmental Engineering,1,Environmental Engineer
8742,"('operations management', 'risk assessment', 'terraform', 'strategic thinking', 'r', 'business operations', 'leadership', 'communication', 'security protocols', 'decision making')",MBA,13,COO
8743,"('prototyping', 'web accessibility', 'security architecture', 'css', 'linux', 'project management', 'networking', 'risk management', 'encryption', 'ci/cd', 'compliance')",Security Certification,5,Security Engineer
8744,"('oracle', 'teamwork', 'research', 'statistical analysis', 'problem solving', 'python', 'r', 'academic writing')",PhD,2,Academic Data Analyst
8745,"('bartending', 'rust', 'prototyping', 'communication', 'firewalls', 'memory', 'customer service', 'pandas', 'problem solving', 'team work', 'mysql')",Bartending Certification,3,Bartender
8746,"('equipment knowledge', 'problem solving', 'nosql', 'web accessibility', 'marketing', 'audio engineering', 'technical skills', 'sound design', 'precision', 'deep learning', 'postgresql')",Certification,0,Sound Engineer
8747,"('responsive design', 'prototyping tools', 'ui principles', 'javascript', 'sales', 'c++', 'figma', 'visual design', 'creativity', 'design systems')",UI Certification,3,UI Designer
8748,"('business management', 'decision making', 'communication', 'angular', 'strategic planning', 'p&l responsibility', 'figma', 'leadership', 'p&l management', 'agile')",Bachelor's in Business,8,General Manager
8749,"('research', 'writing', 'mongodb', 'shell scripting', 'seo', 'ci/cd', 'project management', 'analytics', 'content strategy', 'confluence', 'adobe creative suite')",Bachelor's in Communications,1,Content Marketing Manager
8750,"('numpy', 'data integration', 'encryption', 'mobile ui/ux', 'etl', 'data quality', 'java', 'database design', 'sql', 'ios', 'talend')",Bachelor's in IT,2,Talend Developer
8751,"('communication', 'policy knowledge', 'kotlin', 'leadership', 'mentoring', 'sales', 'jupyter', 'microservices', 'strategic planning', 'budget management', 'public administration')",MPA,2,Public Administrator
8752,"('decision making', 'empathy', 'security protocols', 'problem solving', 'psychiatric diagnosis', 'patient communication', 'treatment planning', 'medical knowledge')",Psychiatry Residency,6,Psychiatrist
8753,"('agile', 'warehouse management', 'ruby', 'staff management', 'statistics', 'safety', 'organization', 'nosql', 'problem solving', 'inventory control')",Bachelor's in Logistics,4,Warehouse Manager
8754,"('administrative skills', 'typing', 'communication', 'attention to detail', 'legal knowledge', 'organization', 'oracle', 'c++')",High School,0,Legal Secretary
8755,"('health knowledge', 'counseling', 'documentation', 'research', 'security architecture', 'client communication', 'meal planning', 'nutrition science', 'financial analysis', 'cloudformation', 'adobe creative suite')",Bachelor's in Nutrition,1,Nutritionist
8756,"('networking', 'rest api', 'job posting', 'recruitment', 'interviewing', 'mysql', 'confluence', 'communication', 'ats systems')",Bachelor's in Business,2,Talent Acquisition Specialist
8757,"('data analysis', 'efficiency optimization', 'decision making', 'leadership', 'budget management', 'pandas', 'process management', 'time management', 'project management', 'quality control', 'communication')",Bachelor's in Operations Management,3,Operations Manager
8758,"('firewalls', 'equipment operation', 'technical knowledge', 'attention to detail', 'safety', 'troubleshooting', 'vue.js', 'broadcasting')",Associate in Broadcast Technology,4,Broadcast Technician
8759,"('teamwork', 'rest api', 'color theory', 'creativity', 'ci/cd', 'customer service', 'communication', 'django', 'technical skills', 'makeup application', 'vue.js')",Beauty School,0,Makeup Artist
8760,"('driving', 'route planning', 'flutter', 'numpy', 'query optimization', 'vehicle maintenance', 'time management', 'rest api', 'mongodb', 'responsibility', 'safety')",High School,1,Truck Driver
8761,"('vue.js', 'network security', 'javascript', 'html/css', 'react', 'database', 'responsive design', 'node.js', 'git', 'html')",Diploma in IT,4,Full Stack Developer
8762,"('swift', 'm&a', 'excel', 'financial modeling', 'graphic design', 'communication', 'research', 'valuation')",Master's in Finance,3,Investment Banking Analyst
8763,"('numpy', 'relationship building', 'postgresql', 'scikit-learn', 'product knowledge', 'sales', 'negotiation', 'crm', 'account management')",Bachelor's in Business,1,Account Executive
8764,"('jira', 'stakeholder communication', 'kotlin', 'redis', 'documentation', 'jupyter', 'sql', 'requirements gathering', 'process improvement', 'react native', 'excel')",Bachelor's in Computer Science,3,Business Analyst
8765,"('firewalls', 'encryption', 'security protocols', 'pandas', 'ci/cd', 'risk analysis', 'networking', 'penetration testing')",Bachelor's in Cybersecurity,4,Cybersecurity Specialist
8766,"('content strategy', 'seo', 'writing', 'strategic planning', 'analytics', 'firewalls', 'project management', 'app testing', 'scikit-learn', 'research')",Bachelor's in Communications,4,Content Marketing Manager
8767,"('vision', 'decision making', 'strategic leadership', 'compliance', 'business acumen', 'executive management', 'communication', 'javascript')",Master's in Business,13,Chief Executive Officer
8768,"('problem solving', 'functional programming', 'big data', 'responsive design', 'jupyter', 'scala', 'apache spark', 'sql')",Bachelor's in Computer Science,5,Scala Developer
8769,"('ios', 'equipment', 'safety', 'hvac systems', 'kubernetes', 'troubleshooting', 'technical knowledge', 'problem solving')",HVAC Certification,1,HVAC Technician
8770,"('adobe creative suite', 'communication', 'business development strategy', 'negotiation', 'sales', 'market research', 'technical writing', 'market analysis', 'networking')",Bachelor's in Business,6,Business Development Manager
8771,"('communication', 'compliance', 'healthcare management', 'database design', 'graphic design', 'strategic planning', 'oracle', 'cassandra', 'time management', 'leadership', 'budget control')",Master's in Healthcare Administration,5,Healthcare Administrator
8772,"('user research', 'report writing', 'research methodology', 'data analysis', 'mobile security', 'presentation skills', 'documentation', 'security architecture', 'problem solving', 'communication')",Master's in Research,3,Product Researcher
8773,"('communication', 'executive support', 'organization', 'docker', 'flask', 'database design', 'discretion', 'leadership support', 'scrum', 'documentation', 'problem solving')",Administrative Certification,4,Executive Assistant
8774,"('java', 'rest api', 'maven', 'microservices', 'encryption', 'jenkins', 'sql', 'power bi', 'ansible', 'web accessibility', 'spring boot')",Bachelor's in Computer Science,5,Java Backend Developer
8775,"('leadership', 'maintenance', 'problem solving', 'redis', 'rust', 'fleet management', 'safety', 'cost management')",High School,6,Fleet Manager
8776,"('compliance', 'writing', 'tax law', 'legal research', 'communication', 'database design', 'analytical skills', 'planning')",Tax Law Specialization,3,Tax Attorney
8777,"('safety', 'negotiation', 'p&l management', 'tableau', 'time management', 'creativity', 'communication', 'customer service', 'driving', 'organization', 'ruby')",Driver's License,2,Delivery Driver
8778,"('java interop', 'problem solving', 'concurrency', 'functional programming', 'lispyscript', 'clojure', 'pytorch', 'cloudformation', 'compliance', 'mobile security')",Bachelor's in Computer Science,1,Clojure Developer
8779,"('encryption', 'unity', 'tensorflow', 'c#', 'game physics', 'communication', 'oracle', 'unreal engine', 'c++', 'graphics programming')",Bachelor's in Game Development,2,Game Developer
8780,"('machine learning', 'cloudformation', 'tensorflow', 'data analysis', 'security protocols', 'sql', 'python', 'statistics')",Bachelor's in Mathematics,1,Data Scientist
8781,"('vehicle systems', 'azure', 'problem solving', 'materials', 'testing', 'cad', 'creativity', 'thermal systems')",Bachelor's in Automotive Engineering,1,Automotive Engineer
8782,"('microcontrollers', 'cad', 'business acumen', 'embedded systems', 'pcb design', 'hardware design', 'circuit design', 'flask', 'pandas')",Bachelor's in Electronics Engineering,3,Electronics Engineer
8783,"('mysql', 'laravel', 'ci/cd', 'php', 'budget management', 'symfony', 'html/css', 'api development', 'cassandra')",Bachelor's in Computer Science,1,PHP Developer
8784,"('quick thinking', 'jenkins', 'communication', 'microservices', 'voice skills', 'pronunciation', 'rest api', 'public speaking', 'tableau', 'professionalism', 'marketing')",High School,2,Announcer
8785,"('compliance', 'communication', 'recruitment', 'leadership', 'ruby', 'compensation', 'employee relations', 'network security')",Bachelor's in Business,5,HR Manager
8786,"('customer service', 'mysql', 'nosql', 'leadership', 'sales', 'fitness industry knowledge', 'management', 'user interface', 'communication')",Associate in Fitness Management,2,Fitness Manager
8787,"('typing', 'security architecture', 'attention to detail', 'administrative skills', 'legal knowledge', 'organization', 'communication', 'postgresql')",Legal Secretary Certification,1,Legal Secretary
8788,"('kubernetes', 'restaurant management', 'staff management', 'terraform', 'leadership', 'financial management', 'communication', 'customer service', 'project management')",High School,2,Restaurant Manager
8789,"('medical knowledge', 'redis', 'treatment planning', 'problem solving', 'empathy', 'adaptability', 'creativity', 'patient communication', 'psychiatric diagnosis')",License,8,Psychiatrist
8790,"('ios', 'security', 'troubleshooting', 'communication', 'windows server', 'azure', 'linux', 'active directory', 'responsive design', 'javascript', 'networking')",Bachelor's in IT,3,Systems Administrator
8791,"('sql', 'communication', 'leadership', 'vision', 'wireframing', 'strategic design', 'technical expertise', 'graphic design', 'enterprise architecture')",Enterprise Architecture Certification,10,Enterprise Architect
8792,"('business operations', 'typescript', 'strategic thinking', 'operations management', 'leadership', 'decision making', 'communication', 'agile')",MBA,9,COO
8793,"('wireframing', 'decision making', 'c++', 'shell scripting', 'leadership', 'python', 'java', 'problem solving', 'software design', 'teamwork', 'git')",Bachelor's in Computer Science,3,Software Engineer
8794,"('mongodb', 'brand voice', 'seo knowledge', 'mentoring', 'research', 'creativity', 'responsive design', 'writing', 'query optimization', 'marketing', 'teamwork')",Bachelor's in English,1,Copywriter
8795,"('investigation', 'judgment', 'project management', 'analysis', 'attention to detail', 'power bi', 'graphic design', 'prototyping', 'communication', 'problem solving', 'python')",Police Academy,3,Detective
8796,"('kotlin', 'forecasting', 'excel', 'financial analysis', 'communication', 'attention to detail', 'budget planning', 'flask')",Bachelor's in Accounting,4,Budget Analyst
8797,"('sales', 'equipment maintenance', 'staff management', 'safety', 'database design', 'problem solving', 'production planning', 'quality control')",Bachelor's in Engineering,2,Production Manager
8798,"('mobile ui/ux', 'security architecture', 'risk management', 'budget control', 'project management', 'timeline management', 'css', 'team leadership', 'communication', 'power bi', 'time management')",Bachelor's in Business,2,Project Manager
8799,"('negotiation', 'customer service', 'patience', 'numpy', 'problem solving', 'creativity', 'troubleshooting', 'communication', 'user experience', 'technical knowledge')",High School,2,Technical Support Specialist
8800,"('tableau', 'sql', 'python', 'c++', 'market research', 'statistical analysis', 'excel', 'data visualization')",Bachelor's in Mathematics,2,Data Analyst
8801,"('research', 'kanban', 'confluence', 'strategic thinking', 'policy expertise', 'communication', 'prototyping', 'analysis', 'ruby', 'strategic planning', 'writing')",Master's in Public Policy,4,Policy Advisor
8802,"('technical writing', 'time management', 'responsive design', 'prototyping', 'law enforcement', 'safety', 'judgment', 'communication', 'problem solving', 'physical fitness')",Police Academy,0,Police Officer
8803,"('staff management', 'community relations', 'strategic planning', 'budgeting', 'management', 'ci/cd', 'educational leadership', 'android', 'vision')",Master's in Education,7,School Principal
8804,"('accounting principles', 'tax knowledge', 'query optimization', 'excel', 'gaap', 'confluence', 'financial analysis', 'quickbooks')",CPA or equivalent,0,Accountant
8805,"('data structures', 'performance optimization', 'kotlin', 'ansible', 'cassandra', 'redis', 'pub/sub', 'caching', 'scalability')",Bachelor's in Computer Science,5,Redis Developer
8806,"('legal expertise', 'technical knowledge', 'flask', 'research', 'terraform', 'communication', 'writing', 'patent law')",Patent Bar License,2,Patent Attorney
8807,"('p&l management', 'scalability', 'problem solving', 'apache kafka', 'adaptability', 'event processing', 'distributed systems', 'streaming')",Bachelor's in Computer Science,2,Kafka Developer
8808,"('troubleshooting', 'customer service', 'problem solving', 'hardware installation', 'networking', 'css', 'documentation', 'prototyping')",IT Certification,4,IT Field Technician
8809,"('precision', 'typescript', 'restoration', 'technical skills', 'research', 'conservation', 'sales', 'problem solving')",Master's in Conservation,4,Conservator
8810,"('oracle apps', 'redis', 'problem solving', 'configuration', 'erp systems', 'pl/sql', 'sql', 'confluence', 'mongodb', 'ios', 'sales')",Bachelor's in IT,1,Oracle Applications Developer
8811,"('design principles', 'visual communication', 'creativity', 'jira', 'typescript', 'scikit-learn', 'encryption', 'artistic direction', 'team leadership', 'communication')",Bachelor's in Design,6,Art Director
8812,"('django', 'symfony', 'documentation', 'responsive design', 'html/css', 'mysql', 'user experience', 'tensorflow', 'api development', 'php', 'laravel')",Bachelor's in Computer Science,3,PHP Developer
8813,"('lightning', 'apex', 'salesforce', 'problem solving', 'sql', 'financial analysis', 'crm', 'business acumen', 'visualforce', 'responsive design')",Salesforce Certification,1,Salesforce Developer
8814,"('sql', 'power bi', 'p&l management', 'tableau', 'etl', 'database design', 'data visualization', 'business development')",Bachelor's in IT,3,BI Developer
8815,"('recruitment', 'javascript', 'communication', 'c++', 'gcp', 'go', 'budget management', 'leadership', 'compliance', 'compensation', 'employee relations')",Bachelor's in HR,5,HR Manager
8816,"('analytics', 'tableau', 'cassandra', 'sales', 'communication', 'security architecture', 'dashboard design', 'sql', 'data visualization')",Tableau Certification,1,Tableau Specialist
8817,"('warehouse management', 'mobile ui/ux', 'inventory control', 'safety', 'organization', 'staff management', 'problem solving', 'ios')",High School with experience,4,Warehouse Manager
8818,"('gaap', 'excel', 'quickbooks', 'financial analysis', 'accounting principles', 'aws', 'time management', 'css', 'pandas', 'shell scripting', 'tax knowledge')",CPA or equivalent,2,Accountant
8819,"('communication', 'market analysis', 'node.js', 'flutter', 'product strategy', 'leadership', 'redis', 'data analysis', 'web design', 'user research', 'app testing')",Bachelor's in Business,6,Product Manager
8820,"('risk assessment', 'jira', 'time management', 'recipe development', 'vue.js', 'angular', 'food safety', 'project management', 'kitchen management', 'creativity', 'cooking')",Culinary Certification,0,Chef
8821,"('node.js', 'javascript', 'vuex', 'api integration', 'vue.js', 'kubernetes', 'html', 'css')",Bachelor's in Computer Science,2,Vue Developer
8822,"('team management', 'communication', 'figma', 'html', 'data analysis', 'leadership', 'performance metrics', 'customer service', 'problem solving', 'terraform', 'go')",High School,3,Call Center Manager
8823,"('statistical analysis', 'oracle', 'graphql', 'css', 'demand forecasting', 'supply planning', 'jupyter', 'excel', 'erp systems', 'data analysis')",Bachelor's in Operations,4,Demand Planner
8824,"('seo', 'technical knowledge', 'sustainability', 'analysis', 'perl', 'equipment design', 'problem solving', 'agricultural systems')",Bachelor's in Agricultural Engineering,3,Agricultural Engineer
8825,"('postgresql', 'hardware', 'troubleshooting', 'ci/cd', 'software', 'compliance', 'communication', 'technical support', 'customer service')",High School,0,IT Help Desk Technician
8826,"('excel', 'gcp', 'requirements gathering', 'terraform', 'stakeholder communication', 'sql', 'process improvement', 'documentation')",Bachelor's in Business,3,Business Analyst
